,position,title,lable,link
55,56,Hydra,Delta Heavy,/release/hydra/3760725
56,57,Toolroom Ibiza 2022,Toolroom,/release/toolroom-ibiza-2022/3733212
57,58,"Take Me with You, Crimson",C.A.Y. Records,/release/take-me-with-you-crimson/3834934
58,59,Bad Man,House Keepers Records,/release/bad-man/3825530
59,60,Infinity,Extent,/release/infinity/3823599
60,61,Big Picture,ESSET,/release/big-picture/3821327
61,62,"Resurgence, Pt. 2",Dynamica,/release/resurgence-pt-2/3819261
62,63,Late Nights-Missed Call,DRK records,/release/late-nights-missed-call/3825173
63,64,Humble,Hidden Portal Records,/release/humble/3818517
64,65,The Wild Awakes,Living Like Birds,/release/the-wild-awakes/3813631
65,66,Human Aura,Radikon,/release/human-aura/3805564
66,67,Agony / Escape,Stamina Records,/release/agony-escape/3796011
67,68,Summer Collection 2022,The Soundgarden,/release/summer-collection-2022/3810766
68,69,Soulvent Meets Hospital,Hospital Records,/release/soulvent-meets-hospital/3753749
69,70,Start Screamin,Hottrax,/release/start-screamin/3787276
70,71,Summer 2022 (Selected),And Dance,/release/summer-2022-selected/3818935
71,72,"Bright - Extended Versions, Vol. 2",Extrema Global Music,/release/bright-extended-versions-vol-2/3809291
72,73,LDN FERG,You Do You,/release/ldn-ferg/3807828
73,74,Run & Hide EP,QRUK,/release/run-hide-ep/3805298
74,75,Ibiza Poolside 2022,HouseU Tunes,/release/ibiza-poolside-2022/3813754
75,76,Prometheus EP,Impressum,/release/prometheus-ep/3812439
76,77,Sakura,BEK Audio,/release/sakura/3801686
77,78,Run The Show,Baikonur Recordings,/release/run-the-show/3793414
78,79,Dispatch,Whoyostro,/release/dispatch/3779236
79,80,Sofa Singles Club - Episode 1,Sofa Sound,/release/sofa-singles-club-episode-1/3790738
80,81,Critical Presents: Binary Vol.25,Critical Music,/release/critical-presents-binary-vol25/3811671
81,82,Trance 100 - Summer 2022 - Extended Versions,Armada Music Albums,/release/trance-100-summer-2022-extended-versions/3809110
82,83,Zion,Iboga Records,/release/zion/3807737
83,84,Rain EP,Exit Strategy,/release/rain-ep/3803432
84,85,Club Vibes Part 01,Harthouse,/release/club-vibes-part-01/3809872
85,86,Last Standing / Fire,Lost & Found,/release/last-standing-fire/3801584
86,87,DJ Hybrid presents Welcome To The Jungle,Jungle Cakes,/release/dj-hybrid-presents-welcome-to-the-jungle/3781891
87,88,Über Was,Angry Records,/release/uber-was/1806446
88,89,Sveva EP,Diynamic,/release/sveva-ep/3767692
89,90,Reasons,Angry Records,/release/reasons/1954804
90,91,Ovean,Angry Records,/release/ovean/3654136
